carname,make,model,year,kilometersdriven,fueltype,transmission,location,city,price,price_lakhs,listingurl,imageurl,source
2017 Ford Figo Aspire,ford,figo aspire,2017,90733.0,Petrol,manual,ahmedabad,ahmedabad,2.73 Lakh,2.73,https://www.cars24.com/buy-used-ford-figo-aspire-2017-cars-ahmedabad-11491462702/,,Cars24
2015 Honda CRV,honda,crv,2015,107978.0,Petrol,auto,ahmedabad,ahmedabad,5.24 Lakh,5.24,https://www.cars24.com/buy-used-honda-crv-2015-cars-ahmedabad-11415065757/,,Cars24
2018 Tata NEXON,tata,nexon,2018,58446.0,Petrol,manual,ahmedabad,ahmedabad,3.55 Lakh,3.55,https://www.cars24.com/buy-used-tata-nexon-2018-cars-ahmedabad-11476063747/,,Cars24
2023 Hyundai Verna,hyundai,verna,2023,63704.0,Petrol,auto,ahmedabad,ahmedabad,10.95 Lakh,10.95,https://www.cars24.com/buy-used-hyundai-verna-2023-cars-ahmedabad-11424665702/,,Cars24
2021 Maruti Vitara Brezza,maruti,vitara brezza,2021,60844.0,Petrol,manual,ahmedabad,ahmedabad,6.56 Lakh,6.56,https://www.cars24.com/buy-used-maruti-vitara-brezza-2021-cars-ahmedabad-11472360703/,,Cars24
2015 Maruti Alto 800,maruti,alto 800,2015,21606.0,Petrol,manual,ahmedabad,ahmedabad,2.07 Lakh,2.07,https://www.cars24.com/buy-used-maruti-alto-800-2015-cars-ahmedabad-11460069728/,,Cars24
2016 Ford New Figo,ford,new figo,2016,130729.0,Petrol,manual,ahmedabad,ahmedabad,1.51 Lakh,1.51,https://www.cars24.com/buy-used-ford-new-figo-2016-cars-ahmedabad-11416500762/,,Cars24
2015 Hyundai i10,hyundai,i10,2015,32420.0,Petrol,manual,ahmedabad,ahmedabad,2.33 Lakh,2.33,https://www.cars24.com/buy-used-hyundai-i10-2015-cars-ahmedabad-11477863748/,,Cars24
2016 Ford Ecosport,ford,ecosport,2016,100798.0,Diesel,manual,ahmedabad,ahmedabad,4.10 Lakh,4.1,https://www.cars24.com/buy-used-ford-ecosport-2016-cars-ahmedabad-14292469775/,,Cars24
2018 Hyundai Grand i10,hyundai,grand i10,2018,101431.0,Petrol,manual,ahmedabad,ahmedabad,3.13 Lakh,3.13,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-ahmedabad-11415569725/,,Cars24
2021 Mahindra Thar,mahindra,thar,2021,58423.0,Petrol,auto,ahmedabad,ahmedabad,8.53 Lakh,8.53,https://www.cars24.com/buy-used-mahindra-thar-2021-cars-ahmedabad-36441007718/,,Cars24
2023 Mahindra XUV300,mahindra,xuv300,2023,90866.0,Diesel,auto,ahmedabad,ahmedabad,8.43 Lakh,8.43,https://www.cars24.com/buy-used-mahindra-xuv300-2023-cars-ahmedabad-11433264782/,,Cars24
