name,price,emi,kilometer,fuel,transmission,registration,location,link
"2021 Hyundai Creta
13 Lakh
₹13.20 Lakh",13 Lakh,"EMI ₹22,768/m*",54K km,Petrol,Automatic,MH09,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/hyundai/creta/sx-o-14-turbo-7-dct-2021/28807859/
"2014 Maruti Celerio
3.06 Lakh
₹3.14 Lakh",3.06 Lakh,"EMI ₹8,571/m*",91K km,Petrol,Automatic,MH13,Wagholi,https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/celerio/vxi-amt-2014/28514831/
"2015 Honda City
4.82 Lakh
₹4.88 Lakh",4.82 Lakh,"EMI ₹10,559/m*",104K km,Petrol,Automatic,MH12,Bavdhan,https://www.spinny.com/buy-used-cars/pune/honda/city/vx-cvt-2015/28930898/
"2019 Volkswagen Vento
6.54 Lakh
₹6.60 Lakh",6.54 Lakh,"EMI ₹10,600/m*",88K km,Petrol,Automatic,MH12,"Seasons Mall, Magarpatta",https://www.spinny.com/buy-used-cars/pune/volkswagen/vento/highline-plus-12-p-at-hadapsar-2019/29017099/
"2016 Maruti Alto 800
2.36 Lakh
₹2.40 Lakh",2.36 Lakh,"EMI ₹4,700/m*",19K km,Petrol,Manual,MH12,Wagholi,https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/alto-800/lxi-wagholi-2016/28558835/
"2015 Volkswagen Polo
3.23 Lakh
₹3.27 Lakh",3.23 Lakh,"EMI ₹6,740/m*",100.5K km,Petrol,Manual,MH12,Wagholi,https://www.spinny.com/used-cars-in-pune/s/
"2015 Hyundai i10
3.02 Lakh
₹3.06 Lakh",3.02 Lakh,"EMI ₹6,739/m*",25.5K km,Petrol,Manual,MH15,"Seasons Mall, Magarpatta",https://www.spinny.com/buy-used-cars/pune/hyundai/i10/sportz-11-irde2-hadapsar-2015/28599471/
"2012 Maruti Wagon R 1.0
2.11 Lakh
₹2.16 Lakh",2.11 Lakh,"EMI ₹15,885/m*",87K km,Petrol,Manual,MH12,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/wagon-r-10/vxi-2012/28863091/
"2012 Hyundai i10
2.07 Lakh
₹2.11 Lakh",2.07 Lakh,"EMI ₹15,362/m*",39.5K km,Petrol,Manual,MH14,Wagholi,https://www.spinny.com/buy-used-cars/pune/hyundai/i10/magna-12-kappa2-wagholi-2012/28602532/
"2014 Maruti Swift
3.36 Lakh
₹3.40 Lakh",3.36 Lakh,"EMI ₹9,272/m*",41.5K km,Petrol,Manual,MH12,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/swift/vxi-hinjawadi-2014/28832270/
"2017 Maruti Celerio
3.48 Lakh
₹3.52 Lakh",3.48 Lakh,"EMI ₹6,113/m*",43K km,Petrol,Manual,MH33,Bavdhan,https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/celerio/vxi-bavdhan-khurd-2017/28801572/
"2020 Kia Seltos
10.99 Lakh
₹11.18 Lakh",10.99 Lakh,"EMI ₹19,294/m*",27.5K km,Petrol,Automatic,MH31,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/kia/seltos/gtx-at-14-hinjawadi-2020/28563786/
"2016 Audi A3
12.77 Lakh
₹13 Lakh",12.77 Lakh,"EMI ₹28,176/m*",58K km,Diesel,Automatic,MH06,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/audi/a3/35-tdi-premium-sunroof-hinjawadi-2016/27407727/
"2017 Maruti Wagon R
2.97 Lakh
₹3.01 Lakh",2.97 Lakh,"EMI ₹5,451/m*",77.5K km,Petrol,Manual,MH12,"Seasons Mall, Magarpatta",https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/wagon-r/vxi-hadapsar-2017/28677349/
