name,price,emi,kilometer,fuel,transmission,registration,location,link
"2015 Nissan Micra Active
3.13 Lakh
₹3.15 Lakh",3.13 Lakh,"EMI ₹6,932/m*",23K km,Petrol,Manual,AP31,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/nissan/micra-active/xv-kukatpally-2015/26176917/
"2021 Tata Nexon
8.37 Lakh
₹8.43 Lakh",8.37 Lakh,"EMI ₹14,492/m*",49K km,Petrol,Automatic,TS15,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/tata/nexon/xza-plus-s-uppal-2021/28369732/
"2018 Tata Nexon
6.25 Lakh
₹6.30 Lakh",6.25 Lakh,"EMI ₹10,864/m*",50.5K km,Petrol,Manual,TS07,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/tata/nexon/xz-plus-dual-tone-uppal-2018/28216309/
"2017 Honda City
5.14 Lakh
₹5.18 Lakh",5.14 Lakh,"EMI ₹9,501/m*",139.5K km,Petrol,Automatic,TS11,"Phoenix Trivium, Hafeezpet",https://www.spinny.com/buy-used-cars/hyderabad/honda/city/vx-cvt-2017/28251641/
"2022 Tata Nexon
9.40 Lakh
₹9.45 Lakh",9.40 Lakh,"EMI ₹16,229/m*",41.5K km,Petrol,Automatic,TS08,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/tata/nexon/xza-plus-o-dual-tone-kukatpally-2022/28323730/
"2020 Honda City
8.27 Lakh
₹8.31 Lakh",8.27 Lakh,"EMI ₹14,219/m*",92.5K km,Petrol,Manual,TS09,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/honda/city/zx-petrol-kukatpally-2020/27898824/
"2022 Renault Kiger
7.72 Lakh
₹7.80 Lakh",7.72 Lakh,"EMI ₹13,402/m*",29K km,Petrol,Automatic,TS10,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/renault/kiger/rxz-turbo-cvt-dual-tone-uppal-2022/25950742/
"2023 Mahindra XUV 300
9.77 Lakh
₹9.90 Lakh",9.77 Lakh,"EMI ₹16,995/m*",28K km,Petrol,Manual,AP40,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/mahindra/xuv-300/w8-o-12-petrol-uppal-2023/27472481/
"2022 Nissan Magnite
7.41 Lakh
₹7.47 Lakh",7.41 Lakh,"EMI ₹12,789/m*",25.5K km,Petrol,Automatic,TS08,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/nissan/magnite/xv-premium-turbo-cvt-dual-tone-kukatpally-2022/28457348/
"2015 Hyundai i20 Active
4.45 Lakh
₹4.47 Lakh",4.45 Lakh,"EMI ₹9,765/m*",87K km,Petrol,Manual,TS09,"Phoenix Trivium, Hafeezpet",https://www.spinny.com/buy-used-cars/hyderabad/hyundai/i20-active/12-s-hafeezpet-2015/28654309/
"2021 Tata Tiago
5.20 Lakh
₹5.24 Lakh",5.20 Lakh,"EMI ₹9,059/m*",60K km,Petrol,Automatic,TS07,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/tata/tiago/xza-plus-uppal-2021/27999984/
"2017 Maruti Celerio
3.87 Lakh
₹3.89 Lakh",3.87 Lakh,"EMI ₹6,743/m*",71K km,Petrol,Automatic,TS09,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/celerio/zxi-amt-kukatpally-2017/28549679/
"2017 Honda Brio
3.40 Lakh
₹3.42 Lakh",3.40 Lakh,"EMI ₹5,587/m*",101.5K km,Petrol,Manual,TS11,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/honda/brio/s-mt-uppal-2017/26539783/
"2019 Datsun Redi-GO
2.72 Lakh
₹2.75 Lakh",2.72 Lakh,"EMI ₹10,725/m*",33.5K km,Petrol,Automatic,AP39,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/datsun/redi-go/to-10-amt-20182019-kukatpally-2019/28800531/
"2018 Skoda Superb
15.11 Lakh
₹15.36 Lakh",15.11 Lakh,"EMI ₹27,970/m*",54K km,Petrol,Automatic,WB02,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/skoda/superb/style-tsi-at-kukatpally-2018/22779045/
"2022 Volkswagen Virtus
11.01 Lakh
₹11.18 Lakh",11.01 Lakh,"EMI ₹19,345/m*",86.5K km,Petrol,Automatic,TS08,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/volkswagen/virtus/topline-10-tsi-at-kukatpally-2022/25338174/
"2016 Honda Jazz
3.98 Lakh
₹4.03 Lakh",3.98 Lakh,"EMI ₹7,013/m*",145.5K km,Petrol,Automatic,TS12,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/honda/jazz/v-at-petrol-uppal-2016/26730373/
"2021 MG Hector Plus
13.61 Lakh",13.61 Lakh,"EMI ₹23,636/m*",51.5K km,Diesel,Manual,AP39,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/mg-motors/hector-plus/sharp-20-diesel-turbo-mt-6str-kukatpally-2021/26283775/
"2015 Honda City
4.78 Lakh
₹4.81 Lakh",4.78 Lakh,"EMI ₹10,494/m*",60K km,Petrol,Manual,TS07,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/honda/city/sv-uppal-2015/28861256/
"2016 Ford Figo
3.29 Lakh
₹3.31 Lakh",3.29 Lakh,"EMI ₹12,893/m*",103.5K km,Petrol,Manual,WB08,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/ford/figo/trend-12-tivct-uppal-2016/26133730/
"2023 Nissan Magnite
6.69 Lakh
₹6.73 Lakh",6.69 Lakh,"EMI ₹11,580/m*",33.5K km,Petrol,Manual,AP40,"Phoenix Trivium, Hafeezpet",https://www.spinny.com/buy-used-cars/hyderabad/nissan/magnite/xv-premium-hafeezpet-2023/28782191/
"2018 Renault Kwid
2.51 Lakh
₹2.53 Lakh",2.51 Lakh,"EMI ₹4,427/m*",80.5K km,Petrol,Manual,TS07,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/renault/kwid/10-rxl-edition-uppal-2018/28497191/
"2023 Kia Sonet
9.03 Lakh
₹9.13 Lakh",9.03 Lakh,"EMI ₹15,684/m*",57.5K km,Diesel,Manual,TS08,"Phoenix Trivium, Hafeezpet",https://www.spinny.com/buy-used-cars/hyderabad/kia/sonet/htk-plus-15-hafeezpet-2023/27446638/
"2018 Maruti Dzire
4.98 Lakh
₹5.02 Lakh",4.98 Lakh,"EMI ₹8,616/m*",109K km,Petrol,Automatic,TS09,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/dzire/vxi-amt-kukatpally-2018/28414020/
"2022 MG Hector Plus
14.33 Lakh
₹14.46 Lakh",14.33 Lakh,"EMI ₹25,015/m*",61.5K km,Petrol,Automatic,TS08,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/mg-motors/hector-plus/sharp-15-petrol-turbo-cvt-6str-kukatpally-2022/27722988/
"2016 Maruti Celerio
3.34 Lakh
₹3.37 Lakh",3.34 Lakh,"EMI ₹6,207/m*",114K km,Petrol,Automatic,AP05,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/celerio/zxi-amt-kukatpally-2016/27782230/
"2017 Honda Brio
3.79 Lakh
₹3.81 Lakh",3.79 Lakh,"EMI ₹6,210/m*",25K km,Petrol,Manual,AP16,"Phoenix Trivium, Hafeezpet",https://www.spinny.com/buy-used-cars/hyderabad/honda/brio/s-mt-hafeezpet-2017/28741328/
"2023 Tata Altroz
7.23 Lakh
₹7.29 Lakh",7.23 Lakh,"EMI ₹12,550/m*",64K km,Diesel,Manual,TS07,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/tata/altroz/xz-diesel-uppal-2023/26375224/
"2020 Kia Seltos
9.05 Lakh
₹9.20 Lakh",9.05 Lakh,"EMI ₹15,803/m*",109K km,Petrol,Automatic,TS07,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/kia/seltos/gtx-plus-at-14-kukatpally-2020/22281536/
"2023 Hyundai Verna
11.87 Lakh
₹12.03 Lakh",11.87 Lakh,"EMI ₹20,809/m*",66.5K km,Petrol,Automatic,TS08,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/hyundai/verna/sx-o-10-turbo-dct-kukatpally-2023/27142867/
"2022 Tata Altroz
7.24 Lakh
₹7.36 Lakh",7.24 Lakh,"EMI ₹12,669/m*",48K km,Diesel,Manual,TS08,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/tata/altroz/xz-diesel-uppal-2022/27845145/
"2023 Renault Kwid
5.03 Lakh
₹5.08 Lakh",5.03 Lakh,"EMI ₹8,770/m*",6.5K km,Petrol,Automatic,TS09,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/renault/kwid/rxt-10-amt-uppal-2023/28547984/
"2023 Nissan Magnite
8.36 Lakh
₹8.41 Lakh",8.36 Lakh,"EMI ₹14,389/m*",37K km,Petrol,Automatic,TS08,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/nissan/magnite/xv-premium-turbo-cvt-uppal-2023/26250821/
"2024 Renault Kwid
5.60 Lakh
₹5.68 Lakh",5.60 Lakh,"EMI ₹9,791/m*",20K km,Petrol,Automatic,TG08,"Phoenix Trivium, Hafeezpet",https://www.spinny.com/buy-used-cars/hyderabad/renault/kwid/climber-10-amt-dual-tone-hafeezpet-2024/28412268/
"2020 MG Hector
9.12 Lakh
₹9.26 Lakh",9.12 Lakh,"EMI ₹15,905/m*",80K km,Hybrid,Manual,AP39,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/mg-motors/hector/sharp-hybrid-15-petrol-kukatpally-2020/24461343/
"2022 Volkswagen Virtus
12.42 Lakh
₹12.61 Lakh",12.42 Lakh,"EMI ₹21,763/m*",92.5K km,Petrol,Automatic,TS08,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/volkswagen/virtus/gt-plus-15-tsi-evo-dsg-kukatpally-2022/23045464/
"2023 Maruti Grand Vitara
11.17 Lakh
₹11.35 Lakh",11.17 Lakh,"EMI ₹19,639/m*",94K km,Petrol,Manual,TS15,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/grand-vitara/alpha-smart-hybrid-kukatpally-2023/25322942/
"2015 Hyundai Xcent
3.58 Lakh
₹3.61 Lakh",3.58 Lakh,"EMI ₹7,424/m*",97.5K km,Petrol,Manual,AP07,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/hyundai/xcent/sx-12-o-kukatpally-2015/27840259/
"2016 Ford EcoSport
4.75 Lakh
₹4.80 Lakh",4.75 Lakh,"EMI ₹10,473/m*",55K km,Petrol,Automatic,TS09,"Phoenix Trivium, Hafeezpet",https://www.spinny.com/buy-used-cars/hyderabad/ford/ecosport/titanium-15l-tivct-at-hafeezpet-2016/26743585/
"2017 Toyota Etios Liva
5.28 Lakh
₹5.37 Lakh",5.28 Lakh,"EMI ₹8,700/m*",102K km,Diesel,Manual,TS08,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/toyota/etios-liva/gxd-kukatpally-2017/27517991/
"2018 Hyundai Grand i10
4.10 Lakh",4.10 Lakh,"EMI ₹7,118/m*",41.5K km,Petrol,Manual,TS07,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/hyundai/grand-i10/sportz-12-kappa-vtvt-kukatpally-2018/28158443/
"2019 Honda City
8.52 Lakh
₹8.64 Lakh",8.52 Lakh,"EMI ₹14,781/m*",45K km,Petrol,Automatic,TS10,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/honda/city/zx-cvt-petrol-uppal-2019/28812370/
"2022 Tata Tiago
5.89 Lakh",5.89 Lakh,"EMI ₹10,098/m*",25.5K km,Petrol,Manual,TS13,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/tata/tiago/xz-plus-2022/28380267/
"2021 Renault Kiger
6.89 Lakh",6.89 Lakh,"EMI ₹11,852/m*",50K km,Petrol,Automatic,TS07,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/renault/kiger/rxz-turbo-cvt-uppal-2021/26984652/
"2021 Hyundai Aura
6.19 Lakh
₹6.25 Lakh",6.19 Lakh,"EMI ₹10,779/m*",57.5K km,Petrol,Manual,TS03,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/hyundai/aura/sx-12-o-petrol-kukatpally-2021/28322232/
"2011 Maruti Wagon R 1.0
2.49 Lakh
₹2.51 Lakh",2.49 Lakh,N/A,76K km,Cng,Manual,AP28,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/wagon-r-10/lxi-cng-uppal-2011/25366275/
"2022 Maruti Swift
6.75 Lakh
₹6.84 Lakh",6.75 Lakh,"EMI ₹11,784/m*",48.5K km,Petrol,Manual,TS08,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/swift/zxi-plus-dual-tone-kukatpally-2022/27658532/
"2023 Volkswagen Virtus
10.46 Lakh
₹10.56 Lakh",10.46 Lakh,"EMI ₹18,272/m*",97.5K km,Petrol,Automatic,TS24,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/volkswagen/virtus/topline-10-tsi-at-uppal-2023/26538211/
"2022 Maruti XL6
10.01 Lakh
₹10.19 Lakh",10.01 Lakh,"EMI ₹17,675/m*",68.5K km,Petrol,Manual,TS08,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/xl6/alpha-plus-mt-petrol-uppal-2022/28276408/
"2023 Volkswagen Taigun
10.06 Lakh
₹10.23 Lakh",10.06 Lakh,"EMI ₹17,710/m*",50.5K km,Petrol,Manual,TS08,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/volkswagen/taigun/topline-10-tsi-mt-kukatpally-2023/26228085/
"2022 Volkswagen Taigun
8.92 Lakh
₹9.07 Lakh",8.92 Lakh,"EMI ₹15,564/m*",64.5K km,Petrol,Manual,TS07,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/volkswagen/taigun/highline-10-tsi-mt-kukatpally-2022/27978898/
"2013 Honda Amaze
3.16 Lakh
₹3.18 Lakh",3.16 Lakh,"EMI ₹12,398/m*",114K km,Petrol,Manual,AP28,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/honda/amaze/12-vx-ivtec-kukatpally-2013/22785538/
"2013 Volkswagen Vento
3.91 Lakh
₹3.93 Lakh",3.91 Lakh,"EMI ₹14,155/m*",133K km,Diesel,Manual,AP10,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/volkswagen/vento/highline-diesel-uppal-2013/28228282/
