name,price,emi,kilometer,fuel,transmission,registration,location,link
"2024 Hyundai Exter
7.23 Lakh",7.23 Lakh,"EMI ₹12,448/m*",36.5K km,Cng,Manual,DL4C,"Rohini, Delhi",https://www.spinny.com/buy-used-cars/delhi/hyundai/exter/sx-12-cng-mt-rohini-sector-10-2024/26613811/
"2021 MG Hector
12.71 Lakh",12.71 Lakh,"EMI ₹22,001/m*",29.5K km,Petrol,Automatic,HR98,"Sector 27, Faridabad",https://www.spinny.com/buy-used-cars/faridabad/mg-motors/hector/15-sharp-cvt-dual-tone-sector-27-2021/27559610/
"2023 Tata Nexon
7.26 Lakh
₹7.36 Lakh",7.26 Lakh,"EMI ₹12,601/m*",21.5K km,Petrol,Manual,DL12,"Rohini, Delhi",https://www.spinny.com/buy-used-cars/delhi/tata/nexon/xm-s-2023/28868433/
"2022 MG Hector Plus
11.43 Lakh
₹11.58 Lakh",11.43 Lakh,"EMI ₹20,059/m*",42K km,Hybrid,Manual,DL3C,"Nehru Place, Delhi",https://www.spinny.com/buy-used-cars/delhi/mg-motors/hector-plus/sharp-15-petrol-turbo-hybrid-mt-6str-nehru-place-2022/28706460/
"2023 Tata Punch
5.43 Lakh
₹5.50 Lakh",5.43 Lakh,"EMI ₹9,502/m*",45K km,Petrol,Manual,HR98,"Sector 27, Faridabad",https://www.spinny.com/buy-used-cars/faridabad/tata/punch/adventure-rhythm-pack-mt-2023/28651286/
"2020 Kia Seltos
10.37 Lakh
₹10.51 Lakh",10.37 Lakh,"EMI ₹18,136/m*",66K km,Petrol,Automatic,DL10,"Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/kia/seltos/gtx-plus-dct-14-2020/28623234/
"2023 Mahindra XUV 300
7.99 Lakh
₹8.06 Lakh",7.99 Lakh,"EMI ₹13,793/m*",54.5K km,Petrol,Automatic,DL10,"Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/mahindra/xuv-300/w8-o-12-petrol-amt-2023/28453965/
"2019 Hyundai Creta
8.14 Lakh
₹8.24 Lakh",8.14 Lakh,"EMI ₹14,100/m*",47K km,Petrol,Manual,HR51,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/hyundai/creta/sx-16-o-petrol-2019/28881780/
"2022 Kia Sonet
9.13 Lakh
₹9.26 Lakh",9.13 Lakh,"EMI ₹15,905/m*",70K km,Diesel,Automatic,DL11,"Rohini, Delhi",https://www.spinny.com/buy-used-cars/delhi/kia/sonet/gtx-plus-15-at-2022/28972900/
"2019 Kia Seltos
9.55 Lakh
₹9.73 Lakh",9.55 Lakh,"EMI ₹16,637/m*",75K km,Petrol,Automatic,DL14,"Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/kia/seltos/gtx-plus-at-14-dwarka-sector-21-2019/28700050/
"2021 MG Hector Plus
11.55 Lakh
₹11.66 Lakh",11.55 Lakh,"EMI ₹20,190/m*",45K km,Petrol,Automatic,DL8C,"Nehru Place, Delhi",https://www.spinny.com/buy-used-cars/delhi/mg-motors/hector-plus/sharp-15-dct-petrol-nehru-place-2021/28875244/
"2020 Kia Seltos
7.20 Lakh
₹7.34 Lakh",7.20 Lakh,"EMI ₹12,635/m*",89K km,Diesel,Manual,DL12,"Raj Nagar Extension, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/kia/seltos/htk-plus-d-raj-nagar-extension-2020/22213992/
"2018 Skoda Octavia
9.36 Lakh
₹9.54 Lakh",9.36 Lakh,"EMI ₹16,484/m*",106K km,Petrol,Automatic,DL4C,"Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/skoda/octavia/18-tsi-style-at-dwarka-sector-21-2018/28891750/
"2025 BMW iX1 LWB
42.95 Lakh
₹43.50 Lakh",42.95 Lakh,"EMI ₹74,816/m*",7.5K km,Electric,Automatic,HR98,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/bmw/ix1-lwb/edrive20l-m-sport-sector-29-2025/27593449/
